URL,Previous title,New title,Previous description,New description,Canonical,H1,Status
"https://cognivantalabs.com/products/chaxu","CHAXU™ — Cognivanta Labs","CHAXU™ | Cognitive AI for Drones, UAVs and UAS","Flagship autonomous aerial intelligence for drone and UAV OEMs: mission command, sensor fusion, edge AI, fleet coordination, replay, and governed operational APIs powered by CINTENT.","CHAXU provides cognitive AI APIs and intelligent systems for drones, UAVs, UAS, aerial autonomy, robotics, mission planning, and autonomous operations.","https://cognivantalabs.com/products/chaxu","CHAXU™","PASS"
"https://cognivantalabs.com/products/cobots","Cognitive Cobots — Cognivanta Labs","Cognitive Cobots | Human-Robot Collaboration with CINTENT","Collaborative machines combining situational awareness, task memory and adaptive assistance for human-alongside industrial and service settings.","Cognitive Cobots combine situational awareness, task memory, safety constraints, adaptive reasoning, and human-machine collaboration.","https://cognivantalabs.com/products/cobots","Cognitive Cobots","PASS"
"https://cognivantalabs.com/products/cogni-doc","COGNI Doc — Cognivanta Labs","COGNI-DOC | Cognitive Document Intelligence Platform","CINTENT-powered document reasoning — contract analysis, risk extraction and structured, explainable summaries for legal, compliance and enterprise document workflows.","COGNI-DOC transforms documents into contextual knowledge, structured insights, decision support, and enterprise workflow intelligence.","https://cognivantalabs.com/products/cogni-doc","COGNI Doc","PASS"
"https://cognivantalabs.com/products/cwos","CWOS™ — Cognivanta Labs","CWOS™ | CINTENT WealthOS for Financial Intelligence","India's first AI-native investment intelligence platform: cognitive research automation, quant signal generation, portfolio optimization and explainable, human-governed recommendations for retail investors, advisors, PMS/AIF managers, family offices and institutions.","CWOS is a cognitive wealth intelligence platform for investment research, portfolio analytics, financial decision support, and wealth-management workflows.","https://cognivantalabs.com/products/cwos","CWOS™","PASS"
"https://cognivantalabs.com/products/externovate","Externovate — Cognivanta Labs","Externovate | Global Research and Internship Platform","A global talent platform connecting students, researchers, universities and enterprises across 15+ countries — AI-matched (via CINTENT™) internships and research placements, from discovery to a verified Digital Career Passport™.","Externovate connects students, universities, researchers, mentors, and enterprises through real-world internships, projects, research, and innovation programs.","https://cognivantalabs.com/products/externovate","Externovate","PASS"
"https://cognivantalabs.com/products/health-hub","Health Hub — Cognivanta Labs","Health-Hub™ | Cognitive Healthcare Intelligence Platform","Healthcare intelligence platform integrating 4500+ healthcare APIs for clinical decision support, patient data integration and care-pathway optimization.","Health-Hub provides cognitive healthcare intelligence, medical APIs, clinical decision support, care workflows, patient engagement, and digital health services.","https://cognivantalabs.com/products/health-hub","Health Hub","PASS"
"https://cognivantalabs.com/products/ikshana","IKSHANA™ — Cognivanta Labs","IKSHANA™ | Cognitive Vision and Autonomous Systems Platform","A governed marketplace and product-design ecosystem for drones, UAVs, robots and cobots — connecting OEMs, vendors, service partners and buyers through compliance-first procurement (DGCA/FAA/EASA/NDAA), vendor trust, and an engineering workspace for designing and simulating autonomous products. Part of the CHAXU stack; also reachable at byobot.store.","IKSHANA combines cognitive vision, multimodal intelligence, robotics, drones, and contextual reasoning for inspection, monitoring, automation, and autonomous systems.","https://cognivantalabs.com/products/ikshana","IKSHANA™","PASS"
"https://cognivantalabs.com/products/nyaynetra","NyayNetra™ — Cognivanta Labs","NyayNetra™ | Cognitive Legal Intelligence Platform","AI-driven legal assistance covering FIR interpretation, case search, legal draft generation and case insights — built to make justice faster and more accessible for citizens and legal professionals.","NyayNetra supports legal research, document intelligence, case analysis, compliance reasoning, judicial insight, and legal decision support.","https://cognivantalabs.com/products/nyaynetra","NyayNetra™","PASS"
"https://cognivantalabs.com/products/shunyai","Shunya AI™ — Cognivanta Labs","Shunya AI™ | Multilingual Cognitive Intelligence Platform","Real-time cognitive speech translation, transcription and transformation across 42 Indian languages — built for calls, conferencing, courtrooms, healthcare and broadcast, with over 95% contextual accuracy. Backed by 250+ APIs.","Shunya AI enables multilingual and culturally aware cognitive interaction for enterprise, voice, language, and regional intelligence applications.","https://cognivantalabs.com/products/shunyai","Shunya AI™","PASS"
"https://cognivantalabs.com/pilots","Pilot Platforms — Cognivanta Labs","CINTENT Pilot Programs | Applied Cognitive AI Systems","Applied programs built on the CINTENT core — research, deployment and enterprise pilots testing the cognitive architecture under real-world constraints.","Explore applied CINTENT pilot programs that test cognitive AI research, deployment, and enterprise systems under real-world constraints.","https://cognivantalabs.com/pilots","Applied programs built on the CINTENT™ core.","PASS"
"https://cognivantalabs.com/pricing","Pricing — Cognivanta Labs","CINTENT Cognitive AI Pricing & API Plans | Cognivanta Labs","Plans for building on CINTENT™ — from a free sandbox to governed enterprise deployment.","Explore CINTENT API access, developer plans, enterprise deployment options, pilots, and commercial cognitive AI engagement models.","https://cognivantalabs.com/pricing","Plans built for every stage of building on CINTENT™ .","PASS"
"https://cognivantalabs.com/about","About — Cognivanta Labs","About Cognivanta Labs | Cognitive AI and Intelligence Engineering","Indigenous Indian Cognitive AI platform. CINTENT™ MVP complete, platform-first architecture, multi-domain ecosystem, strong IP strategy, global vision.","Learn about Cognivanta Labs, our cognitive AI vision, CINTENT platform, intelligence engineering approach, products, research, and long-term technology roadmap.","https://cognivantalabs.com/about","Human + AI. India-built for the world.","PASS"
"https://cognivantalabs.com/careers","Careers — Cognivanta Labs","Careers at Cognivanta Labs | Build Cognitive AI Systems","Join the team building CINTENT, an indigenous Indian cognitive AI platform. No open roles listed today — register your interest and we'll reach out when there's a fit.","Join Cognivanta Labs to develop cognitive AI platforms, enterprise intelligence, autonomous systems, APIs, and next-generation decision technologies.","https://cognivantalabs.com/careers","Human + AI, built by people who care how it's built .","PASS"
"https://cognivantalabs.com/investors","Investor Relations — Cognivanta Labs","Invest in Cognitive AI Innovation | Cognivanta Labs","Investment thesis, market opportunity, leadership, and how to request Cognivanta Labs / CINTENT investor materials.","Explore Cognivanta Labs’ cognitive AI platform, product portfolio, market opportunity, technical roadmap, applications, and investment proposition.","https://cognivantalabs.com/investors","Backing the shift from responses to real decisions .","PASS"
"https://cognivantalabs.com/media","Media &amp; Press — Cognivanta Labs","Cognivanta Labs News, Media and Press","Fact sheets, approved logos, executive profiles, and a media contact for Cognivanta Labs and CINTENT™ coverage.","View Cognivanta Labs announcements, media coverage, platform updates, product releases, research publications, and corporate news.","https://cognivantalabs.com/media","Reporting on Cognivanta Labs ?","PASS"
"https://cognivantalabs.com/roadmap","Roadmap — Cognivanta Labs","CINTENT Cognitive AI Roadmap & Technology Vision","Cognivanta Labs' technology roadmap: where CINTENT and its pilots stand today, and the direction the platform is heading through 2030.","Explore the CINTENT roadmap covering cognitive APIs, applications, edge intelligence, cognitive runtime, AI accelerators, and quantum-ready architecture.","https://cognivantalabs.com/roadmap","Where CINTENT is today, and where it's headed .","PASS"
"https://cognivantalabs.com/cognites","Cognites — Cognivanta Labs","Cognivanta Labs Cognites | Partner and Customer Access","Cognites — sign-in hub for Cognivanta Labs partners, customers, and employees.","Access Cognivanta Labs partner and customer workspaces, platform resources, and governed application handoffs through the Cognites hub.","https://cognivantalabs.com/cognites","One door in, for everyone at Cognivanta.","PASS"
"https://cognivantalabs.com/blog","Blog and publications - Cognivanta Labs","Cognitive AI Insights and Enterprise AI Blog | Cognivanta Labs","Public articles, research, and visual publications on cognitive architecture, CINTENT, and the Cognivanta product ecosystem, drawn from one owner-approved publication catalogue.","Read insights on cognitive AI, decision intelligence, enterprise AI, multimodal systems, Industry 5.0, healthcare, robotics, UAVs, and emerging technology.","https://cognivantalabs.com/blog","Signals from the team building CINTENT .","PASS"
"https://cognivantalabs.com/contact","Contact — Cognivanta Labs","Contact Cognivanta Labs | AI Partnerships and Platform Access","Get API access, propose a pilot, or post your use case for CINTENT™ and the Cognivanta ecosystem.","Contact Cognivanta Labs for CINTENT platform access, APIs, enterprise pilots, partnerships, investment discussions, and technology collaboration.","https://cognivantalabs.com/contact","Build on CINTENT™ .","PASS"
"https://cognivantalabs.com/privacy","Privacy Policy (Draft) — Cognivanta Labs","Privacy Policy | Cognivanta Labs","Draft privacy policy for Cognivanta Labs, pending legal review.","Learn how Cognivanta Labs collects, processes, protects, and manages information across its website, platforms, APIs, and digital services.","https://cognivantalabs.com/privacy","Privacy Policy (Draft)","PASS"
"https://cognivantalabs.com/terms","Terms of Service (Draft) — Cognivanta Labs","Terms and Conditions | Cognivanta Labs","Draft terms of service for Cognivanta Labs, pending legal review.","Review the terms governing use of Cognivanta Labs websites, CINTENT services, APIs, products, content, and enterprise offerings.","https://cognivantalabs.com/terms","Terms of Service (Draft)","PASS"
"https://cognivantalabs.com/enterprise","Enterprise AI — From Responses to Real-World Decisions | Cognivanta Labs","Enterprise Cognitive AI & Decision Intelligence | Cognivanta Labs","CINTENT™ turns text, voice, documents, data and sensor signals into governed, structured decisions — ready for human approval or real-world execution.","Build enterprise cognitive AI systems for decision intelligence, governed automation, multimodal reasoning, workflow integration, and operational execution.","https://cognivantalabs.com/enterprise","From Responses to Real-World Decisions.","PASS"
